Ranking IDHM 2010;Município;IDHM 2010;IDHM Renda 2010;IDHM Longevidade 2010;IDHM Educação 2010;Estado
2946 º;Jaboticaba ;658;0636;0820;547;RS
2964 º;Santo Hipólito ;657;0641;0824;536;MG
2964 º;Tunas ;657;0659;0794;541;RS
2964 º;Matos Costa ;657;0630;0831;541;SC
2964 º;Encruzilhada do Sul ;657;0677;0875;478;RS
2964 º;Redenção da Serra ;657;0633;0799;560;SP
2964 º;Tianguá ;657;0628;0768;587;CE
2964 º;Mantenópolis ;657;0636;0810;551;ES
2964 º;Presidente Kennedy ;657;0636;0808;553;ES
2964 º;São Sebastião do Passé ;657;0633;0812;551;BA
2964 º;São José do Xingu ;657;0703;0828;487;MT
2964 º;Afogados da Ingazeira ;657;0623;0807;565;PE
2964 º;Marliéria ;657;0629;0838;537;MG
2964 º;Ibertioga ;657;0606;0834;560;MG
2964 º;Itacurubi ;657;0692;0804;509;RS
2964 º;Entre Rios ;657;0638;0808;550;SC
2964 º;Heliodora ;657;0656;0822;527;MG
2964 º;Arroio Grande ;657;0673;0807;522;RS
2964 º;Aguiarnópolis ;657;0618;0804;571;TO
2964 º;Guajará-Mirim ;657;0663;0823;519;RO
2964 º;São José do Mantimento ;657;0612;0823;562;MG
2964 º;Cocalzinho de Goiás ;657;0648;0826;531;GO
2964 º;Divinésia ;657;0645;0785;559;MG
2986 º;Cordisburgo ;656;0644;0786;558;MG
2986 º;Vale de São Domingos ;656;0658;0765;560;MT
2986 º;Pescador ;656;0615;0831;552;MG
2986 º;Mesquita ;656;0638;0796;555;MG
2986 º;Santo Antônio do Leverger ;656;0651;0806;539;MT
2986 º;Rio dos Índios ;656;0645;0804;545;RS
2986 º;Ferreira Gomes ;656;0635;0820;542;AP
2986 º;Itaiçaba ;656;0581;0758;642;CE
2986 º;Itaúna do Sul ;656;0651;0798;543;PR
2986 º;Planalto da Serra ;656;0615;0813;565;MT
2986 º;Serro ;656;0650;0834;520;MG
2986 º;Brejetuba ;656;0630;0828;540;ES
2986 º;Laranja da Terra ;656;0633;0810;550;ES
2986 º;Curiúva ;656;0649;0795;546;PR
2986 º;Brasília de Minas ;656;0612;0813;568;MG
2986 º;Brumado ;656;0630;0807;554;BA
2986 º;Augusto de Lima ;656;0622;0815;557;MG
2986 º;Arinos ;656;0607;0815;570;MG
2986 º;Antônio Olinto ;656;0626;0825;547;PR
2986 º;Mata ;656;0660;0807;529;RS
2986 º;Tavares ;656;0692;0828;492;RS
2986 º;Campo Maior ;656;0629;0793;566;PI
3008 º;Pedra Dourada ;655;0631;0827;539;MG
3008 º;Chalé ;655;0636;0787;561;MG
3008 º;Manoel Viana ;655;0686;0766;534;RS
3008 º;Nova Iguaçu de Goiás ;655;0642;0812;540;GO
3008 º;Vitória das Missões ;655;0659;0809;526;RS
3008 º;São João do Sabugi ;655;0620;0779;581;RN
3008 º;Natividade da Serra ;655;0664;0814;520;SP
3008 º;Lamim ;655;0623;0828;546;MG
3008 º;Aracati ;655;0607;0742;624;CE
3008 º;Sapopema ;655;0695;0795;509;PR
3008 º;Capanema ;655;0610;0794;580;PA
3008 º;Raul Soares ;655;0658;0823;520;MG
3008 º;Engenheiro Navarro ;655;0599;0791;594;MG
3008 º;Tesouro ;655;0635;0791;560;MT
3008 º;Baliza ;655;0614;0819;558;GO
3008 º;Boa Ventura de São Roque ;655;0635;0802;553;PR
3008 º;Carmo da Cachoeira ;655;0672;0801;523;MG
3008 º;Belo Vale ;655;0672;0814;514;MG
3008 º;Funilândia ;655;0612;0844;545;MG
3008 º;Mandirituba ;655;0677;0807;515;PR
3008 º;São João da Baliza ;655;0614;0780;587;RR
3008 º;Santo Antônio do Leste ;655;0658;0853;501;MT
3030 º;Itapemirim ;654;0640;0808;540;ES
3030 º;Dores do Rio Preto ;654;0635;0813;542;ES
3030 º;Sem-Peixe ;654;0623;0826;543;MG
3030 º;Saltinho ;654;0639;0795;551;SC
3030 º;Galiléia ;654;0645;0795;546;MG
3030 º;Nova Viçosa ;654;0657;0780;546;BA
3030 º;Portelândia ;654;0680;0803;513;GO
3030 º;Francisco Sá ;654;0605;0808;572;MG
3030 º;Pinhão ;654;0649;0806;534;PR
3030 º;Itapiranga ;654;0594;0792;594;AM
3030 º;Santa Cruz Cabrália ;654;0624;0784;571;BA
3030 º;Rafael Godeiro ;654;0583;0789;607;RN
3030 º;Talismã ;654;0654;0801;535;TO
3030 º;São João do Jaguaribe ;654;0620;0784;576;CE
3030 º;Dezesseis de Novembro ;654;0625;0809;553;RS
3030 º;Itaporã ;654;0660;0809;523;MS
3030 º;Abre Campo ;654;0646;0823;525;MG
3030 º;Campos Verdes ;654;0608;0796;577;GO
3030 º;Capão Alto ;654;0680;0796;516;SC
3030 º;Tanguá ;654;0644;0793;548;RJ
3030 º;Silva Jardim ;654;0657;0793;536;RJ
3030 º;Cruzeta ;654;0602;0748;621;RN
3030 º;Iapu ;654;0639;0819;535;MG
3030 º;Pedro Canário ;654;0643;0812;536;ES
3030 º;Damianópolis ;654;0614;0815;558;GO
3055 º;Epitaciolândia ;653;0654;0771;553;AC
3055 º;Presidente Dutra ;653;0628;0788;563;MA
3055 º;Campestre de Goiás ;653;0628;0799;556;GO
3055 º;Trombas ;653;0628;0812;547;GO
3055 º;Rio Rufino ;653;0652;0806;530;SC
3055 º;Santa Amélia ;653;0655;0809;526;PR
3055 º;Itabirinha ;653;0625;0838;531;MG
3055 º;Ilha de Itamaracá ;653;0627;0809;548;PE
3055 º;São Lourenço da Mata ;653;0614;0793;571;PE
3055 º;Ritápolis ;653;0649;0815;526;MG
3055 º;Novo Santo Antônio ;653;0640;0829;526;MT
3055 º;Bom Repouso ;653;0647;0821;523;MG
3055 º;Capelinha ;653;0641;0824;527;MG
3055 º;Divinópolis de Goiás ;653;0624;0813;550;GO
3055 º;São João da Mata ;653;0676;0822;501;MG
3070 º;São José de Ubá ;652;0633;0798;548;RJ
3070 º;São Martinho da Serra ;652;0659;0848;496;RS
3070 º;Poconé ;652;0643;0806;534;MT
3070 º;Jijoca de Jericoacoara ;652;0614;0723;625;CE
3070 º;Caraá ;652;0661;0830;505;RS
3070 º;Guarará ;652;0650;0802;532;MG
3070 º;Ipiranga ;652;0684;0828;489;PR
3070 º;Iracema ;652;0597;0733;632;CE
3070 º;Moreno ;652;0610;0805;564;PE
3070 º;Casa Grande ;652;0608;0823;555;MG
3070 º;Mauá da Serra ;652;0661;0793;529;PR
3070 º;Guarinos ;652;0604;0815;563;GO
3070 º;Porto Esperidião ;652;0666;0795;523;MT
3070 º;Campestre do Maranhão ;652;0611;0774;586;MA
3070 º;Sério ;652;0695;0847;471;RS
3070 º;Ibarama ;652;0686;0792;511;RS
3070 º;Silveirânia ;652;0645;0841;511;MG
3070 º;Água Doce do Norte ;652;0619;0819;546;ES
3070 º;Chupinguaia ;652;0659;0820;514;RO
3070 º;General Carneiro ;652;0638;0816;532;PR
3090 º;Alto Boa Vista ;651;0613;0803;561;MT
3090 º;Virgínia ;651;0635;0829;523;MG
3090 º;Porteirinha ;651;0593;0796;585;MG
3090 º;Arraias ;651;0636;0829;523;TO
3090 º;Serra dos Aimorés ;651;0653;0784;539;MG
3090 º;Crucilândia ;651;0653;0816;518;MG
3090 º;Periquito ;651;0593;0839;555;MG
3090 º;Goiana ;651;0614;0779;576;PE
3090 º;São Francisco de Goiás ;651;0658;0825;509;GO
3090 º;Nova Campina ;651;0598;0799;577;SP
3090 º;Nova Brasilândia ;651;0673;0845;485;MT
3090 º;Padre Bernardo ;651;0670;0801;515;GO
3090 º;Ivaí ;651;0654;0791;534;PR
3090 º;Santana do Deserto ;651;0660;0849;493;MG
3090 º;Rochedo ;651;0676;0830;491;MS
3090 º;Taquaraçu de Minas ;651;0643;0818;525;MG
3090 º;Bacabal ;651;0619;0753;591;MA
3090 º;São Geraldo ;651;0656;0831;507;MG
3090 º;Aparecida do Rio Negro ;651;0593;0791;588;TO
3090 º;Nova Tebas ;651;0632;0788;553;PR
3090 º;Taquarussu ;651;0657;0769;545;MS
3090 º;Jati ;651;0562;0776;634;CE
3090 º;São José das Missões ;651;0652;0782;542;RS
3090 º;Igaratinga ;651;0682;0842;481;MG
3090 º;Santa Rita do Tocantins ;651;0630;0830;527;TO
3115 º;Carmésia ;650;0631;0805;540;MG
3115 º;Gameleiras ;650;0559;0796;618;MG
3115 º;Cabixi ;650;0650;0757;559;RO
3115 º;São João do Manhuaçu ;650;0659;0836;498;MG
3115 º;Itanhomi ;650;0656;0831;503;MG
3115 º;Nova Bandeirantes ;650;0696;0842;469;MT
3115 º;Pinhal da Serra ;650;0641;0835;513;RS
3115 º;Ventania ;650;0633;0798;543;PR
3115 º;Faina ;650;0644;0799;534;GO
3115 º;Cana Verde ;650;0652;0821;512;MG
3115 º;Canguçu ;650;0683;0819;491;RS
3115 º;Pium ;650;0633;0822;527;TO
3115 º;Rosário Oeste ;650;0653;0807;520;MT
3115 º;Rio Casca ;650;0651;0813;519;MG
3115 º;Guadalupe ;650;0639;0794;542;PI
3115 º;Barros Cassal ;650;0690;0795;500;RS
3115 º;Marmelópolis ;650;0615;0806;553;MG
3115 º;Pacaraima ;650;0624;0788;558;RR
3115 º;Monte Alegre dos Campos ;650;0667;0822;501;RS
3115 º;Monjolos ;650;0612;0819;548;MG
3115 º;Itaporã do Tocantins ;650;0613;0842;531;TO
3136 º;São Luiz ;649;0605;0788;574;RR
3136 º;Canaã ;649;0644;0798;532;MG
3136 º;Jesúpolis ;649;0642;0814;522;GO
3136 º;Boa Vista ;649;0590;0796;582;PB
3136 º;Barão de Monte Alto ;649;0619;0827;533;MG
3136 º;Candeias do Jamari ;649;0652;0819;512;RO
3136 º;Cerrito ;649;0657;0824;504;RS
3136 º;Arapiraca ;649;0638;0780;549;AL
3136 º;Bayeux ;649;0619;0779;566;PB
3136 º;Alagoa ;649;0634;0832;518;MG
3136 º;Barra dos Coqueiros ;649;0647;0776;545;SE
3136 º;Jacobina ;649;0636;0772;558;BA
3136 º;São Felipe D'Oeste ;649;0615;0780;571;RO
3136 º;Mampituba ;649;0650;0813;517;RS
3136 º;Novo Horizonte do Sul ;649;0656;0798;523;MS
3136 º;Lebon Régis ;649;0632;0806;537;SC
3136 º;Novo São Joaquim ;649;0658;0819;507;MT
3136 º;Peixoto de Azevedo ;649;0691;0761;521;MT
3136 º;Timon ;649;0614;0768;579;MA
3136 º;Unistalda ;649;0626;0804;542;RS
3156 º;Santa Cruz do Capibaribe ;648;0667;0806;506;PE
3156 º;Carlos Chagas ;648;0641;0826;513;MG
3156 º;Morro da Garça ;648;0619;0816;538;MG
3156 º;Angico ;648;0576;0773;612;TO
3156 º;Dilermando de Aguiar ;648;0681;0864;463;RS
3156 º;Rio Manso ;648;0676;0802;501;MG
3156 º;Frei Inocêncio ;648;0624;0779;559;MG
3156 º;Felixlândia ;648;0651;0815;514;MG
3156 º;Cabeceira Grande ;648;0638;0788;542;MG
3156 º;Ubajara ;648;0595;0769;594;CE
3156 º;Capela Nova ;648;0602;0797;568;MG
3156 º;Cardoso Moreira ;648;0653;0782;534;RJ
3156 º;São João do Oriente ;648;0631;0805;536;MG
3156 º;Santa Maria de Itabira ;648;0622;0821;533;MG
3156 º;Reserva do Iguaçu ;648;0636;0820;521;PR
3156 º;Passa-Vinte ;648;0662;0809;507;MG
3172 º;Brejo Santo ;647;0596;0768;592;CE
3172 º;Presidente Figueiredo ;647;0627;0802;538;AM
3172 º;Santana do Jacaré ;647;0655;0790;523;MG
3172 º;Cachoeira ;647;0615;0762;577;BA
3172 º;Caracol ;647;0628;0826;522;MS
3172 º;Valença do Piauí ;647;0620;0773;566;PI
3172 º;Vila Boa ;647;0619;0818;534;GO
3172 º;Salinópolis ;647;0628;0798;541;PA
3172 º;Ibatiba ;647;0651;0830;501;ES
3172 º;Estância ;647;0627;0782;552;SE
3172 º;Santana dos Montes ;647;0608;0801;557;MG
3172 º;Munhoz ;647;0634;0821;520;MG
3172 º;Bocaina do Sul ;647;0642;0768;549;SC
3172 º;Goiabeira ;647;0628;0799;539;MG
3186 º;São Sebastião do Alto ;646;0638;0789;536;RJ
3186 º;Alpercata ;646;0629;0824;521;MG
3186 º;Lontra ;646;0589;0794;577;MG
3186 º;Carvalhos ;646;0667;0820;492;MG
3186 º;Cascavel ;646;0587;0793;578;CE
3186 º;Cacaulândia ;646;0664;0801;506;RO
3186 º;Piracema ;646;0646;0809;515;MG
3186 º;Vale Verde ;646;0666;0816;497;RS
3186 º;Santo Amaro ;646;0626;0772;559;BA
3186 º;Itamarandiba ;646;0618;0798;547;MG
3186 º;Fernandes Tourinho ;646;0608;0807;550;MG
3186 º;Penaforte ;646;0566;0761;626;CE
3186 º;Lucrécia ;646;0624;0785;551;RN
3186 º;Xinguara ;646;0671;0800;503;PA
3186 º;São Miguel do Guaporé ;646;0644;0781;537;RO
3201 º;Muniz Freire ;645;0637;0821;512;ES
3201 º;Taparuba ;645;0604;0799;557;MG
3201 º;Tibau do Sul ;645;0672;0794;504;RN
3201 º;Vila Bela da Santíssima Trindade ;645;0644;0843;495;MT
3201 º;Simolândia ;645;0595;0826;546;GO
3201 º;General Maynard ;645;0609;0776;567;SE
3201 º;Porto Alegre do Tocantins ;645;0586;0785;584;TO
3201 º;Bocaina de Minas ;645;0665;0848;476;MG
3201 º;Ouro Branco ;645;0610;0789;558;RN
3201 º;Tabuleiro do Norte ;645;0620;0791;547;CE
3201 º;Jatobá ;645;0604;0775;573;PE
3201 º;São Nicolau ;645;0658;0778;523;RS
3201 º;Foz do Jordão ;645;0654;0828;496;PR
3201 º;Paragominas ;645;0667;0781;514;PA
3201 º;Águas Formosas ;645;0624;0811;531;MG
3201 º;Manfrinópolis ;645;0642;0805;520;PR
3201 º;Vera Cruz ;645;0632;0817;520;BA
3201 º;Fernandes Pinheiro ;645;0647;0791;525;PR
3201 º;Durandé ;645;0626;0842;508;MG
3201 º;Antônio Dias ;645;0624;0849;507;MG
3201 º;São João do Piauí ;645;0615;0769;567;PI
3222 º;Mutum ;644;0635;0822;511;MG
3222 º;Crixás do Tocantins ;644;0603;0798;555;TO
3222 º;Itacoatiara ;644;0618;0811;534;AM
3222 º;Crateús ;644;0618;0787;550;CE
3222 º;Messias Targino ;644;0608;0779;565;RN
3222 º;Diamante D'Oeste ;644;0647;0776;532;PR
3222 º;Forquilha ;644;0583;0760;602;CE
3222 º;Cristal ;644;0687;0826;471;RS
3222 º;Iaciara ;644;0615;0826;527;GO
3222 º;Senador Firmino ;644;0639;0829;505;MG
3222 º;São Miguel do Anta ;644;0616;0828;523;MG
3222 º;Engenheiro Caldas ;644;0632;0815;518;MG
3234 º;Antônio João ;643;0633;0799;526;MS
3234 º;Rio Crespo ;643;0637;0813;513;RO
3234 º;Monte Carlo ;643;0648;0804;511;SC
3234 º;Nova Crixás ;643;0674;0813;485;GO
3234 º;Serranos ;643;0638;0834;499;MG
3234 º;São Valério ;643;0605;0814;539;TO
3234 º;Rio Largo ;643;0616;0788;547;AL
3234 º;Teixeirópolis ;643;0653;0818;498;RO
3234 º;Alvorada D'Oeste ;643;0654;0763;534;RO
3234 º;Calçoene ;643;0636;0759;550;AP
3234 º;Mirante da Serra ;643;0673;0800;494;RO
3234 º;Lagoão ;643;0641;0822;505;RS
3234 º;Hulha Negra ;643;0653;0796;512;RS
3234 º;Nova Brasilândia D'Oeste ;643;0664;0763;524;RO
3234 º;Nazaré ;643;0584;0792;576;TO
3234 º;Jequitaí ;643;0605;0797;552;MG
3234 º;Governador Mangabeira ;643;0594;0754;594;BA
3234 º;Carmópolis ;643;0623;0783;546;SE
3234 º;Palmeiras ;643;0608;0782;560;BA
3234 º;Argirita ;643;0645;0817;505;MG
3254 º;Quixeramobim ;642;0592;0789;567;CE
3254 º;Amapá ;642;0631;0790;532;AP
3254 º;Marechal Deodoro ;642;0641;0793;520;AL
3254 º;Belém do São Francisco ;642;0611;0784;553;PE
3254 º;Florânia ;642;0611;0775;560;RN
3254 º;Santa Rita do Pardo ;642;0655;0800;505;MS
3254 º;Laranjeiras ;642;0589;0772;582;SE
3254 º;Itabaiana ;642;0645;0801;513;SE
3254 º;Almenara ;642;0636;0803;518;MG
3254 º;Manga ;642;0624;0799;530;MG
3254 º;Almeirim ;642;0659;0809;497;PA
3254 º;Corrente ;642;0620;0789;540;PI
3254 º;Passabém ;642;0631;0787;533;MG
3254 º;Santana do Seridó ;642;0595;0767;580;RN
3254 º;Babaçulândia ;642;0589;0792;568;TO
3254 º;Barrolândia ;642;0600;0817;541;TO
3254 º;São Vicente ;642;0606;0787;556;RN
3254 º;Nova Laranjeiras ;642;0614;0833;517;PR
3254 º;São Valério do Sul ;642;0674;0816;480;RS
3254 º;Malta ;642;0620;0800;533;PB
3254 º;Coração de Jesus ;642;0575;0808;570;MG
3275 º;Nazaré ;641;0637;0777;532;BA
3275 º;Barra do Turvo ;641;0625;0792;532;SP
3275 º;Itacarambi ;641;0593;0787;564;MG
3275 º;Nova Porteirinha ;641;0584;0811;556;MG
3275 º;Taquaritinga do Norte ;641;0636;0796;520;PE
3275 º;João Lisboa ;641;0585;0785;573;MA
3275 º;São Mamede ;641;0617;0765;558;PB
3275 º;Aquiraz ;641;0608;0788;550;CE
3275 º;Alta Floresta D'Oeste ;641;0657;0763;526;RO
3275 º;Amparo do Serra ;641;0616;0811;528;MG
3275 º;Campo Belo do Sul ;641;0648;0768;528;SC
3275 º;Primavera de Rondônia ;641;0645;0799;512;RO
3275 º;Frei Martinho ;641;0631;0770;542;PB
3275 º;Axixá ;641;0535;0776;634;MA
3275 º;Coxixola ;641;0586;0794;567;PB
3275 º;Goioxim ;641;0593;0813;547;PR
3291 º;Vitória de Santo Antão ;640;0629;0768;543;PE
3291 º;Bocaiúva do Sul ;640;0679;0816;473;PR
3291 º;Pedras Altas ;640;0647;0820;493;RS
3291 º;Timbaúba dos Batistas ;640;0614;0723;591;RN
3291 º;São Domingos ;640;0601;0757;575;BA
3291 º;Macaíba ;640;0613;0784;545;RN
3291 º;Itaituba ;640;0644;0800;510;PA
3291 º;Itapipoca ;640;0562;0761;613;CE
3291 º;Carmolândia ;640;0621;0810;521;TO
3291 º;Conceição do Araguaia ;640;0631;0770;540;PA
3291 º;Santa Maria do Suaçuí ;640;0629;0817;511;MG
3291 º;Formoso ;640;0616;0834;510;MG
3291 º;São Gonçalo do Rio Preto ;640;0593;0815;542;MG
3291 º;Porto Grande ;640;0610;0777;554;AP
3291 º;São Romão ;640;0586;0787;568;MG
3291 º;Senador Guiomard ;640;0649;0786;513;AC
3291 º;São João do Manteninha ;640;0623;0805;522;MG
3291 º;Machacalis ;640;0607;0783;552;MG
3291 º;Catolé do Rocha ;640;0617;0787;539;PB
3291 º;Rio Branco do Ivaí ;640;0624;0783;537;PR
3291 º;Rondolândia ;640;0619;0800;530;MT
3312 º;Ribeirão Branco ;639;0592;0797;553;SP
3312 º;Piedade de Ponte Nova ;639;0616;0802;528;MG
3312 º;Paudalho ;639;0612;0782;545;PE
3312 º;Araguacema ;639;0587;0805;553;TO
3312 º;Nioaque ;639;0658;0822;483;MS
3312 º;Novo Acordo ;639;0618;0797;530;TO
3312 º;Caroebe ;639;0600;0791;549;RR
3312 º;Dois Irmãos do Buriti ;639;0640;0773;528;MS
3312 º;Tefé ;639;0637;0801;511;AM
3312 º;Apodi ;639;0611;0747;571;RN
3312 º;Delta ;639;0672;0808;481;MG
3312 º;Palmital ;639;0647;0791;511;PR
3312 º;São Félix do Coribe ;639;0601;0784;555;BA
3312 º;São Félix ;639;0582;0769;583;BA
3312 º;Luzinópolis ;639;0593;0726;605;TO
3312 º;Uruburetama ;639;0564;0760;608;CE
3312 º;Mariluz ;639;0653;0794;504;PR
3312 º;Água Branca ;639;0600;0763;569;PI
3312 º;São Francisco de Itabapoana ;639;0618;0791;533;RJ
3312 º;Desterro de Entre Rios ;639;0607;0802;536;MG
3312 º;Capitão Enéas ;639;0573;0806;565;MG
3333 º;Bandeirantes do Tocantins ;638;0570;0797;571;TO
3333 º;Simão Pereira ;638;0645;0843;478;MG
3333 º;São João Evangelista ;638;0620;0806;520;MG
3333 º;Goianinha ;638;0619;0783;537;RN
3333 º;Rio Maria ;638;0651;0804;495;PA
3333 º;Palhano ;638;0572;0723;628;CE
3333 º;Corumbataí do Sul ;638;0632;0790;520;PR
3333 º;Carbonita ;638;0617;0796;529;MG
3333 º;São Francisco ;638;0595;0804;542;MG
3333 º;Palmeira dos Índios ;638;0625;0794;523;AL
3333 º;Sabinópolis ;638;0637;0812;502;MG
3333 º;Ibirapuitã ;638;0678;0828;463;RS
3333 º;Vicente Dutra ;638;0656;0809;489;RS
3333 º;Bernardo Sayão ;638;0606;0748;573;TO
3333 º;Moeda ;638;0657;0800;494;MG
3333 º;São Domingos das Dores ;638;0602;0800;539;MG
3333 º;Beberibe ;638;0585;0778;571;CE
3333 º;Umburatiba ;638;0599;0815;531;MG
3333 º;Ministro Andreazza ;638;0647;0776;518;RO
3333 º;Wanderlândia ;638;0619;0748;561;TO
3333 º;Caraúbas ;638;0594;0786;556;RN
3333 º;Jaíba ;638;0619;0789;531;MG
3333 º;Alto Paraguai ;638;0612;0784;541;MT
3333 º;Nossa Senhora do Livramento ;638;0600;0820;529;MT
3357 º;Santo Amaro das Brotas ;637;0613;0778;543;SE
3357 º;Pinheiro ;637;0579;0771;579;MA
3357 º;Pedro Teixeira ;637;0587;0794;555;MG
3357 º;Caculé ;637;0621;0769;541;BA
3357 º;Guaramiranga ;637;0576;0736;610;CE
3357 º;São Jerônimo da Serra ;637;0626;0822;503;PR
3357 º;Capão Bonito do Sul ;637;0654;0779;507;RS
3357 º;Santa Terezinha do Tocantins ;637;0583;0758;584;TO
3357 º;Bonfim ;637;0669;0834;464;MG
3357 º;Paula Cândido ;637;0632;0823;497;MG
3357 º;Paracuru ;637;0597;0746;581;CE
3357 º;Apuí ;637;0621;0772;540;AM
3357 º;Irupi ;637;0658;0798;493;ES
3357 º;Itanhém ;637;0624;0790;525;BA
3357 º;Valente ;637;0623;0729;568;BA
3357 º;Santa Bárbara do Tugúrio ;637;0616;0810;517;MG
3357 º;Guarani de Goiás ;637;0569;0814;557;GO
3357 º;Oratórios ;637;0627;0824;500;MG
3357 º;Itaperuçu ;637;0654;0779;507;PR
3357 º;Joaquim Felício ;637;0642;0824;489;MG
3357 º;Capão do Leão ;637;0662;0814;480;RS
3378 º;Uiraúna ;636;0612;0797;528;PB
3378 º;Nova Lacerda ;636;0643;0825;485;MT
3378 º;Sardoá ;636;0594;0812;533;MG
3378 º;Felipe Guerra ;636;0582;0768;575;RN
3378 º;Curionópolis ;636;0592;0809;536;PA
3378 º;Tijucas do Sul ;636;0679;0792;479;PR
3378 º;Almas ;636;0616;0796;524;TO
3378 º;Olaria ;636;0638;0823;490;MG
3378 º;Retirolândia ;636;0579;0773;574;BA
3378 º;São José do Cerrito ;636;0618;0827;503;SC
3378 º;Ibotirama ;636;0601;0780;548;BA
3378 º;Orós ;636;0582;0793;557;CE
3378 º;Pindoretama ;636;0581;0754;588;CE
3378 º;Espigão Alto do Iguaçu ;636;0632;0781;521;PR
3378 º;Dores de Guanhães ;636;0612;0821;512;MG
3393 º;Candói ;635;0655;0778;503;PR
3393 º;Oliveira Fortes ;635;0616;0794;523;MG
3393 º;Cantagalo ;635;0638;0768;522;PR
3393 º;Piripiri ;635;0621;0775;533;PI
3393 º;Surubim ;635;0617;0756;548;PE
3393 º;Terra Santa ;635;0602;0763;558;PA
3393 º;Martins Soares ;635;0619;0809;512;MG
3393 º;Santa Cruz ;635;0597;0761;564;RN
3393 º;São José do Egito ;635;0602;0769;554;PE
3393 º;Seabra ;635;0588;0761;572;BA
3393 º;Chapada Gaúcha ;635;0573;0820;546;MG
3393 º;Pacoti ;635;0571;0773;580;CE
3393 º;Itueta ;635;0640;0825;485;MG
3393 º;Tibau ;635;0627;0769;530;RN
3407 º;Santa Rita do Novo Destino ;634;0639;0820;487;GO
3407 º;Taguatinga ;634;0628;0818;497;TO
3407 º;Caranaíba ;634;0593;0807;533;MG
3407 º;Pombal ;634;0629;0787;515;PB
3407 º;Paraipaba ;634;0574;0738;602;CE
3407 º;Oeiras ;634;0619;0753;547;PI
3407 º;Gramado Xavier ;634;0681;0792;473;RS
3407 º;Novo Horizonte do Oeste ;634;0606;0799;527;RO
3407 º;Vila Propício ;634;0629;0802;505;GO
3407 º;Carolina ;634;0600;0802;529;MA
3407 º;Itambé do Mato Dentro ;634;0605;0823;513;MG
3407 º;Nova Roma ;634;0594;0812;529;GO
3407 º;Porto Firme ;634;0615;0804;516;MG
3407 º;Lagoa dos Patos ;634;0593;0773;556;MG
3407 º;Serrinha ;634;0615;0778;532;BA
3407 º;Gravatá ;634;0630;0794;510;PE
3407 º;Santa Maria do Tocantins ;634;0600;0784;543;TO
3407 º;Mundo Novo ;634;0642;0812;488;GO
3407 º;Itagimirim ;634;0602;0821;516;BA
3407 º;São João da Lagoa ;634;0575;0813;546;MG
3407 º;Entre Folhas ;634;0617;0792;521;MG
3407 º;Conceição da Feira ;634;0606;0766;548;BA
3407 º;Itambacuri ;634;0616;0784;527;MG
3407 º;Tuparetama ;634;0612;0749;557;PE
3407 º;Conceição do Mato Dentro ;634;0622;0794;517;MG
3407 º;Vargem Grande do Rio Pardo ;634;0563;0811;559;MG
3433 º;Tarumirim ;633;0614;0829;499;MG
3433 º;Tauá ;633;0585;0773;560;CE
3433 º;Aral Moreira ;633;0628;0798;507;MS
3433 º;Caiana ;633;0631;0833;483;MG
3433 º;Groaíras ;633;0585;0724;598;CE
3433 º;Bom Jesus da Lapa ;633;0615;0775;533;BA
3433 º;Serranópolis de Minas ;633;0608;0773;539;MG
3433 º;Urucânia ;633;0628;0811;498;MG
3433 º;Alto Parnaíba ;633;0683;0785;474;MA
3433 º;Pindaré-Mirim ;633;0568;0755;592;MA
3433 º;Santana da Boa Vista ;633;0630;0802;503;RS
3433 º;Itapissuma ;633;0589;0764;564;PE
3433 º;Santo Antônio do Grama ;633;0626;0823;493;MG
3433 º;Farias Brito ;633;0541;0774;605;CE
3433 º;Minas Novas ;633;0600;0802;528;MG
3448 º;Bocaina ;632;0614;0773;532;PI
3448 º;Silves ;632;0546;0791;584;AM
3448 º;Santo Antônio do Tauá ;632;0598;0753;561;PA
3448 º;Rosário ;632;0566;0752;592;MA
3448 º;Cruz ;632;0573;0752;586;CE
3448 º;Independência ;632;0561;0759;592;CE
3448 º;Escada ;632;0594;0781;543;PE
3448 º;Dom Macedo Costa ;632;0598;0795;531;BA
3448 º;Gandu ;632;0645;0771;508;BA
3448 º;Lajedão ;632;0652;0778;497;BA
3448 º;Rodelas ;632;0566;0790;564;BA
3448 º;Córrego Novo ;632;0596;0805;525;MG
3448 º;José Gonçalves de Minas ;632;0597;0764;553;MG
3448 º;Presidente Bernardes ;632;0603;0804;521;MG
3448 º;Riachinho ;632;0577;0795;551;MG
3448 º;São Sebastião do Rio Preto ;632;0662;0809;472;MG
3448 º;Simonésia ;632;0622;0823;493;MG
3448 º;Veredinha ;632;0579;0785;555;MG
3448 º;Divino de São Lourenço ;632;0622;0819;496;ES
3448 º;Mato Rico ;632;0580;0812;536;PR
3448 º;Miranda ;632;0638;0782;507;MS
3469 º;Sinimbu ;631;0697;0792;456;RS
3469 º;Pendências ;631;0633;0753;526;RN
3469 º;Matipó ;631;0630;0780;511;MG
3469 º;Ichu ;631;0580;0771;562;BA
3469 º;Nova Olinda ;631;0614;0765;535;TO
3469 º;Rosário do Catete ;631;0603;0731;571;SE
3469 º;Campinaçu ;631;0644;0819;476;GO
3469 º;Marianópolis do Tocantins ;631;0630;0792;504;TO
3469 º;Sobradinho ;631;0605;0748;555;BA
