date;state;city;place_type;confirmed;deaths;is_last;estimated_population;city_ibge_code;confirmed_per_100k_inhabitants;death_rate;death_per_100k_inhabitants;Ranking IDHM 2010;IDHM 2010;IDHM Renda 2010;IDHM Longevidade 2010;IDHM Educação 2010
2022-03-26;PI;Acauã;city;228;2;True;7102,0;2200053,0;3210,36328;0,0088;28,161081385525204;5408 º;528;0517;0692;411
2022-03-26;PI;Agricolândia;city;829;10;True;5131,0;2200103,0;16156,6946;0,0121;194,89378288832586;4167 º;599;0550;0742;526
2022-03-26;PI;Água Branca;city;1702;77;True;17470,0;2200202,0;9742,41557;0,0452;440,7555809959931;3312 º;639;0600;0763;569
2022-03-26;PI;Alagoinha do Piauí;city;402;13;True;7665,0;2200251,0;5244,6184;0,0323;169,60208741030658;5390 º;531;0535;0716;391
2022-03-26;PI;Alegrete do Piauí;city;553;9;True;4918,0;2200277,0;11244,4083;0,0163;183,0012200081334;4515 º;585;0564;0749;475
2022-03-26;PI;Alto Longá;city;858;15;True;14339,0;2200301,0;5983,68087;0,0175;104,6098054257619;4515 º;585;0567;0751;470
2022-03-26;PI;Altos;city;5568;107;True;40605,0;2200400,0;13712,59697;0,0192;263,5143455239503;3820 º;614;0590;0767;512
2022-03-26;PI;Alvorada do Gurguéia;city;709;14;True;5445,0;2200459,0;13021,12029;0,0197;257,1166207529844;4670 º;578;0520;0749;496
2022-03-26;PI;Amarante;city;1736;36;True;17604,0;2200509,0;9861,39514;0,0207;204,4989775051125;4198 º;598;0574;0750;497
2022-03-26;PI;Angical do Piauí;city;901;12;True;6783,0;2200608,0;13283,20802;0,0133;176,91287041132244;3487 º;630;0610;0737;555
2022-03-26;PI;Anísio de Abreu;city;291;15;True;9938,0;2200707,0;2928,15456;0,0515;150,9358019722278;4284 º;594;0534;0768;512
2022-03-26;PI;Antônio Almeida;city;409;11;True;3170,0;2200806,0;12902,2082;0,0269;347,0031545741325;3702 º;620;0579;0781;527
2022-03-26;PI;Aroazes;city;699;15;True;5827,0;2200905,0;11995,88124;0,0215;257,4223442594817;4562 º;583;0563;0752;468
2022-03-26;PI;Aroeiras do Itaim;city;188;2;True;2551,0;2200954,0;7369,65896;0,0106;78,40062720501764;5461 º;519;0502;0738;378
2022-03-26;PI;Arraial;city;172;3;True;4720,0;2201002,0;3644,0678;0,0174;63,5593220338983;5049 º;560;0514;0761;449
2022-03-26;PI;Assunção do Piauí;city;410;10;True;7863,0;2201051,0;5214,2948;0,0244;127,17792191275595;5534 º;499;0462;0706;382
2022-03-26;PI;Avelino Lopes;city;527;23;True;11326,0;2201101,0;4653,01077;0,0436;203,07257637294722;5146 º;554;0532;0722;442
2022-03-26;PI;Baixa Grande do Ribeiro;city;2672;36;True;11671,0;2201150,0;22894,35353;0,0135;308,45685888098706;4965 º;564;0537;0751;446
2022-03-26;PI;Barra D'Alcântara;city;156;5;True;3952,0;2201176,0;3947,36842;0,0321;126,51821862348179;4695 º;577;0526;0777;471
2022-03-26;PI;Barras;city;5936;105;True;47185,0;2201200,0;12580,26915;0,0177;222,52834587262902;4255 º;595;0558;0779;485
2022-03-26;PI;Barreiras do Piauí;city;114;4;True;3352,0;2201309,0;3400,95465;0,0351;119,33174224343676;5098 º;557;0560;0730;423
2022-03-26;PI;Barro Duro;city;810;12;True;7027,0;2201408,0;11526,96741;0,0148;170,7698875764907;3866 º;612;0611;0729;514
2022-03-26;PI;Batalha;city;1453;40;True;26905,0;2201507,0;5400,48318;0,0275;148,6712506968965;5268 º;545;0540;0755;398
2022-03-26;PI;Bela Vista do Piauí;city;324;7;True;4030,0;2201556,0;8039,70223;0,0216;173,697270471464;4718 º;576;0520;0709;519
2022-03-26;PI;Belém do Piauí;city;624;8;True;3587,0;2201572,0;17396,15277;0,0128;223,0275996654586;5186 º;551;0537;0696;448
2022-03-26;PI;Beneditinos;city;1474;41;True;10473,0;2201606,0;14074,28626;0,0278;391,48286068939177;5098 º;557;0561;0780;394
2022-03-26;PI;Bertolínia;city;1140;12;True;5507,0;2201705,0;20700,92609;0,0105;217,9044852006537;3866 º;612;0596;0758;507
2022-03-26;PI;Betânia do Piauí;city;183;4;True;6210,0;2201739,0;2946,8599;0,0219;64,4122383252818;5543 º;489;0486;0702;342
2022-03-26;PI;Boa Hora;city;607;7;True;6815,0;2201770,0;8906,82318;0,0115;102,71460014673515;4742 º;575;0534;0772;460
2022-03-26;PI;Bocaina;city;451;11;True;4505,0;2201804,0;10011,09878;0,0244;244,173140954495;3448 º;632;0614;0773;532
2022-03-26;PI;Bom Jesus;city;3840;52;True;25387,0;2201903,0;15125,85181;0,0135;204,8292433135069;2716 º;668;0665;0799;562
2022-03-26;PI;Bom Princípio do Piauí;city;240;13;True;5651,0;2201919,0;4247,03592;0,0542;230,04777915413203;5382 º;532;0526;0770;372
2022-03-26;PI;Bonfim do Piauí;city;518;9;True;5685,0;2201929,0;9111,69745;0,0174;158,31134564643799;5293 º;542;0542;0707;415
2022-03-26;PI;Boqueirão do Piauí;city;884;14;True;6426,0;2201945,0;13756,61376;0,0158;217,86492374727672;5049 º;560;0555;0729;434
2022-03-26;PI;Brasileira;city;739;21;True;8347,0;2201960,0;8853,48029;0,0284;251,58739666946207;4695 º;577;0572;0752;446
2022-03-26;PI;Brejo do Piauí;city;160;5;True;3848,0;2201988,0;4158,00416;0,0312;129,93762993762994;5481 º;515;0531;0725;354
2022-03-26;PI;Buriti dos Lopes;city;1494;37;True;19807,0;2202000,0;7542,7879;0,0248;186,8026455293583;4941 º;565;0544;0735;452
2022-03-26;PI;Buriti dos Montes;city;722;10;True;8264,0;2202026,0;8736,68925;0,0139;121,00677637947724;4764 º;574;0527;0780;460
2022-03-26;PI;Cabeceiras do Piauí;city;759;17;True;10630,0;2202059,0;7140,16933;0,0224;159,9247412982126;4562 º;583;0540;0769;476
2022-03-26;PI;Cajazeiras do Piauí;city;83;2;True;3573,0;2202075,0;2322,97789;0,0241;55,97537083683179;5002 º;562;0525;0752;449
2022-03-26;PI;Cajueiro da Praia;city;499;21;True;7674,0;2202083,0;6502,47589;0,0421;273,6512900703675;5253 º;546;0551;0739;400
2022-03-26;PI;Caldeirão Grande do Piauí;city;551;2;True;5781,0;2202091,0;9531,22297;0,0036;34,596090641757485;4444 º;588;0561;0744;486
2022-03-26;PI;Campinas do Piauí;city;254;2;True;5620,0;2202109,0;4519,57295;0,0079;35,587188612099645;5277 º;544;0524;0776;397
2022-03-26;PI;Campo Alegre do Fidalgo;city;404;2;True;5069,0;2202117,0;7970,01381;0,005;39,45551390806865;5345 º;537;0528;0762;385
2022-03-26;PI;Campo Grande do Piauí;city;518;11;True;5965,0;2202133,0;8683,98994;0,0212;184,40905280804694;5049 º;560;0545;0721;446
2022-03-26;PI;Campo Largo do Piauí;city;519;8;True;7311,0;2202174,0;7098,89208;0,0154;109,42415538230065;5408 º;528;0479;0766;401
2022-03-26;PI;Campo Maior;city;6817;168;True;46893,0;2202208,0;14537,35099;0,0246;358,26242722794444;2986 º;656;0629;0793;566
2022-03-26;PI;Canavieira;city;305;7;True;3944,0;2202251,0;7733,26572;0,023;177,4847870182556;4562 º;583;0525;0778;485
2022-03-26;PI;Canto do Buriti;city;1604;50;True;21258,0;2202307,0;7545,39467;0,0312;235,20556966788973;4718 º;576;0571;0724;462
2022-03-26;PI;Capitão de Campos;city;852;30;True;11445,0;2202406,0;7444,29882;0,0352;262,12319790301444;4562 º;583;0552;0773;465
2022-03-26;PI;Capitão Gervásio Oliveira;city;144;11;True;4114,0;2202455,0;3500,24307;0,0764;267,379679144385;5157 º;553;0503;0725;464
2022-03-26;PI;Caracol;city;442;17;True;10964,0;2202505,0;4031,37541;0,0385;155,0529004013134;5169 º;552;0533;0771;409
2022-03-26;PI;Caraúbas do Piauí;city;194;12;True;5890,0;2202539,0;3293,71817;0,0619;203,73514431239389;5515 º;505;0480;0775;347
2022-03-26;PI;Caridade do Piauí;city;749;5;True;5085,0;2202554,0;14729,59685;0,0067;98,32841691248771;5306 º;541;0520;0715;426
2022-03-26;PI;Castelo do Piauí;city;2249;39;True;19715,0;2202604,0;11407,5577;0,0173;197,81891960436215;4467 º;587;0566;0754;473
2022-03-26;PI;Caxingó;city;157;2;True;5451,0;2202653,0;2880,20547;0,0127;36,6905155017428;5546 º;488;0498;0708;329
